GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081046500,Queens,Census Tract 465,4574,0.12975360074748732,35251.43020039523,0,4574.0,2336.8227529931632,0.7397551407307855,1
36081046600,Queens,Census Tract 466,4627,0.24053286369413332,19236.4566277471,0,4627.0,3469.5493595646712,0.8381906874973383,1
36081046700,Queens,Census Tract 467,7445,0.14185812508874793,52482.013246279195,0,7445.0,2444.9872400941117,0.924856464586508,1
36081046800,Queens,Census Tract 468,3735,0.22941619275350342,16280.454989561598,0,3735.0,2498.6853675577104,0.6066007077654768,1
36081047000,Queens,Census Tract 470,3341,0.2293205391431069,14569.126744966605,0,3341.0,1910.4969629118903,0.4342180858295059,1
36081047100,Queens,Census Tract 471,4362,0.15809444050899282,27591.103051798196,0,4362.0,885.3099455961726,0.213704452707842,0
36081047200,Queens,Census Tract 472,3952,0.5208663384230335,7587.359190776296,0,3952.0,3376.9451797087927,0.6423631569332702,1
36081047300,Queens,Census Tract 473,4177,0.1984888330074835,21044.00502895051,1,2088.5,515.9117573143316,-0.24397104456721466,0
36081047500,Queens,Census Tract 475,4987,0.2819760061645852,17685.901959648163,1,2493.5,1174.9253139217003,0.1677051646550939,0
36081004500,Queens,Census Tract 45,2750,0.22037181929324298,12478.909548505599,0,2750.0,1580.1385149644868,0.2765457309665437,0
36081004700,Queens,Census Tract 47,4254,0.17924679782075256,23732.64154070978,0,4254.0,911.3118679149613,0.19845405422658524,0
36081005000,Queens,Census Tract 50,0,0.15272804899554526,0.0,0,0.0,1468.6470191322665,-2.887272115913415,0
36081005300,Queens,Census Tract 53,5509,0.1964943549454414,28036.428840562003,0,5509.0,1508.1850404374384,0.5250973159780934,1
36081005400,Queens,Census Tract 54,5363,0.41610156456939035,12888.680208520702,1,2681.5,1001.7873920253016,0.05284194269155786,0
36081005800,Queens,Census Tract 58,6012,0.5904184161432855,10182.609206656216,1,3006.0,1470.1365530128455,0.2261385170735782,0
36081006100,Queens,Census Tract 61,5186,0.19505402069633365,26587.506278959154,0,5186.0,1585.7997708579026,0.5289494151908272,1
36081030904,Queens,Census Tract 309.04,2616,0.41441069910158085,6312.578332729684,0,2616.0,1991.0280464721661,0.2696371475187986,0
36081043702,Queens,Census Tract 437.02,6925,0.1752994688066598,39503.827633600406,0,6925.0,961.155160309566,0.4055673499614713,0
36081044301,Queens,Census Tract 443.01,3543,0.13364836566400512,26509.86401814429,0,3543.0,1263.6995691321663,0.3399893206385915,0
36081036500,Queens,Census Tract 365,2944,0.1661951179780608,17714.118415852827,0,2944.0,1007.9169460581945,0.12620823610310347,0
36081036600,Queens,Census Tract 366,3089,0.3696506582061904,8356.538616730832,0,3089.0,1913.9973065819395,0.3292476102209642,0
36081035800,Queens,Census Tract 358,4210,0.5244840722491233,8026.935845632893,0,4210.0,1532.123137105956,0.2759371604134986,0
36081036700,Queens,Census Tract 367,2492,0.195574455633897,12741.950332536608,0,2492.0,1270.1841873533604,0.1527691268186754,0
36081036800,Queens,Census Tract 368,2842,0.2328416143413817,12205.721936943753,0,2842.0,1086.062846685716,0.09543203996038625,0
36081065401,Queens,Census Tract 654.01,3288,0.4309896118032108,7628.954178833655,1,1644.0,1291.8102353540396,-0.006014591115245517,0
36081065402,Queens,Census Tract 654.02,0,0.27020951434298324,0.0,1,0.0,599.6191654803429,-3.327137586659512,0
36081037100,Queens,Census Tract 371,1506,0.18747040453296143,8033.267991029549,0,1506.0,623.2325468852358,-0.3732417246552207,0
36081037300,Queens,Census Tract 373,2484,0.23726294710747747,10469.397056232196,0,2484.0,850.1627560797732,-0.0768668544698254,0
36081037600,Queens,Census Tract 376,6982,0.7697463237305107,9070.520747877465,1,3491.0,896.3059837715222,-0.005410965984277927,0
36081038100,Queens,Census Tract 381,7308,0.28531298812652184,25613.975893586983,1,3654.0,809.8176324683993,0.12212564273092562,0
36081007700,Queens,Census Tract 77,1935,0.12667519862140733,15275.286883765713,0,1935.0,1964.3950492549884,0.34525097351187667,0
36081008600,Queens,Census Tract 86,3068,0.3327116281469313,9221.198600985228,0,3068.0,1775.4548262507071,0.3069015095942412,0
36081008700,Queens,Census Tract 87,3299,0.2557624060445648,12898.69004213689,1,1649.5,992.1222975800758,-0.049917654965070855,0
36081008800,Queens,Census Tract 88,3624,0.4485216814750055,8079.876959531002,0,3624.0,1635.0789829494179,0.2786770613359837,0
36081007900,Queens,Census Tract 79,2683,0.16050502686773632,16715.987357897007,0,2683.0,1241.915828122848,0.2005982619128784,0
36081008100,Queens,Census Tract 81,1301,0.11232056511333646,11582.918931072265,0,1301.0,645.3999521813254,-0.3263611733651063,0
36081008300,Queens,Census Tract 83,2534,0.1913348480793573,13243.797590645945,1,1267.0,87.07373684295146,-1.2898241661096226,0
36081009100,Queens,Census Tract 91,1790,0.18632762341504228,9606.734456183123,0,1790.0,1240.294806662671,0.02851100733626591,0
36081009400,Queens,Census Tract 94,2874,0.17242942337505685,16667.688981066003,0,2874.0,904.526479991469,0.05833881105344949,0
36081009500,Queens,Census Tract 95,2057,0.1645063424426514,12504.07716478829,1,1028.5,755.711885073892,-0.2839575072176456,0
36081009600,Queens,Census Tract 96,3308,0.20646761756273685,16021.882942465965,0,3308.0,2088.6637337008883,0.4914155797302424,1
36081009800,Queens,Census Tract 98,2358,0.13574881755357734,17370.31704949728,0,2358.0,1852.88721028813,0.37728222829759583,0
36081009900,Queens,Census Tract 99,0,0.24921472082530757,0.0,2,0.0,394.2063733082817,-3.5328859253231264,0
36081034700,Queens,Census Tract 347,3636,0.38276869607300235,9499.209411070897,0,3636.0,2077.169584394437,0.4231317096339487,1
36081035200,Queens,Census Tract 352,2776,0.6062216125572163,4579.183490819532,0,2776.0,2017.7699082250463,0.2361919805851975,0
36081035300,Queens,Census Tract 353,1942,0.15511110013563476,12520.058192494573,1,971.0,1029.1666517699773,-0.14371613649656798,0
36081026501,Queens,Census Tract 265.01,2976,0.10768590441497725,27635.92891908785,0,2976.0,1663.6603678120368,0.4465809297652375,1
36081037502,Queens,Census Tract 375.02,2683,0.10012130092446349,26797.494391569973,0,2683.0,1313.6024395895738,0.3046045889901725,0
36081089202,Queens,Census Tract 892.02,0,1.6042349068735202,0.0,0,0.0,5760.455025528886,-2.21570418117323,0
36081027301,Queens,Census Tract 273.01,3004,0.09863994970745175,30454.192331903254,0,3004.0,2258.9891396353073,0.6144934613204827,1
36081000104,Queens,Census Tract 1.04,303,0.6257205073611509,484.2417603952936,0,303.0,2622.574016026649,-0.4455442046823708,0
36081027101,Queens,Census Tract 271.01,5428,0.08991832430586086,60365.89362515738,0,5428.0,891.58425283118,0.38815319866498893,0
36081040702,Queens,Census Tract 407.02,3888,0.1290643098076896,30124.51703955383,0,3888.0,1208.3422436215176,0.35746025097737916,0
36081040302,Queens,Census Tract 403.02,3941,0.11132559903881255,35400.66286664229,1,1970.5,475.37579830822256,-0.2116144317030085,0
36081040102,Queens,Census Tract 401.02,4638,0.12404224343487646,37390.48788193677,0,4638.0,1033.6275859070818,0.3513861481725722,0
36081027302,Queens,Census Tract 273.02,4169,0.11661143529021499,35751.210759257556,1,2084.5,982.401916772675,0.15763474636901656,0
